Time difference of 28.21059 mins
[1] "==============="
Self-Organizing Map 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 721, 721, 720, 720, 720, ... 

Resampling results across tuning parameters:

  xdim  ydim  xweight  Accuracy  Kappa  Accuracy SD  Kappa SD
   2     9    0.500    0.826     0.651  0.0358       0.0718  
   2     9    0.536    0.846     0.693  0.0285       0.0571  
   2     9    0.573    0.834     0.669  0.0333       0.0665  
   2     9    0.609    0.834     0.667  0.0418       0.0835  
   2     9    0.645    0.837     0.674  0.0396       0.0793  
   2     9    0.682    0.834     0.669  0.0409       0.0819  
   2     9    0.718    0.848     0.697  0.0378       0.0754  
   2     9    0.755    0.834     0.669  0.0331       0.0663  
   2     9    0.791    0.831     0.663  0.0360       0.0721  
   2     9    0.827    0.833     0.666  0.0375       0.0749  
   2     9    0.864    0.836     0.672  0.0402       0.0807  
   2     9    0.900    0.841     0.681  0.0436       0.0875  
   2    10    0.500    0.833     0.665  0.0376       0.0752  
   2    10    0.536    0.846     0.693  0.0305       0.0609  
   2    10    0.573    0.843     0.686  0.0297       0.0597  
   2    10    0.609    0.840     0.680  0.0321       0.0644  
   2    10    0.645    0.833     0.665  0.0455       0.0913  
   2    10    0.682    0.841     0.681  0.0448       0.0896  
   2    10    0.718    0.832     0.664  0.0396       0.0792  
   2    10    0.755    0.837     0.674  0.0403       0.0810  
   2    10    0.791    0.839     0.677  0.0366       0.0736  
   2    10    0.827    0.821     0.641  0.0428       0.0860  
   2    10    0.864    0.831     0.661  0.0392       0.0786  
   2    10    0.900    0.828     0.655  0.0463       0.0925  
   2    11    0.500    0.833     0.666  0.0422       0.0848  
   2    11    0.536    0.833     0.665  0.0348       0.0697  
   2    11    0.573    0.835     0.670  0.0414       0.0830  
   2    11    0.609    0.826     0.651  0.0384       0.0769  
   2    11    0.645    0.836     0.673  0.0359       0.0714  
   2    11    0.682    0.824     0.648  0.0502       0.1004  
   2    11    0.718    0.835     0.670  0.0449       0.0899  
   2    11    0.755    0.828     0.656  0.0365       0.0729  
   2    11    0.791    0.835     0.670  0.0442       0.0881  
   2    11    0.827    0.821     0.643  0.0500       0.0999  
   2    11    0.864    0.828     0.656  0.0395       0.0791  
   2    11    0.900    0.826     0.652  0.0316       0.0633  
   2    12    0.500    0.829     0.657  0.0412       0.0828  
   2    12    0.536    0.833     0.665  0.0360       0.0720  
   2    12    0.573    0.830     0.660  0.0406       0.0813  
   2    12    0.609    0.836     0.673  0.0462       0.0924  
   2    12    0.645    0.835     0.670  0.0394       0.0787  
   2    12    0.682    0.828     0.655  0.0413       0.0827  
   2    12    0.718    0.835     0.670  0.0406       0.0813  
   2    12    0.755    0.823     0.646  0.0412       0.0824  
   2    12    0.791    0.832     0.664  0.0344       0.0691  
   2    12    0.827    0.851     0.702  0.0397       0.0796  
   2    12    0.864    0.810     0.620  0.0426       0.0858  
   2    12    0.900    0.830     0.660  0.0414       0.0829  
   2    13    0.500    0.825     0.650  0.0309       0.0621  
   2    13    0.536    0.839     0.677  0.0399       0.0801  
   2    13    0.573    0.821     0.641  0.0402       0.0802  
   2    13    0.609    0.836     0.671  0.0293       0.0587  
   2    13    0.645    0.837     0.674  0.0442       0.0887  
   2    13    0.682    0.840     0.680  0.0411       0.0827  
   2    13    0.718    0.828     0.656  0.0345       0.0691  
   2    13    0.755    0.824     0.648  0.0319       0.0641  
   2    13    0.791    0.826     0.652  0.0345       0.0691  
   2    13    0.827    0.834     0.669  0.0302       0.0604  
   2    13    0.864    0.834     0.669  0.0389       0.0780  
   2    13    0.900    0.832     0.665  0.0442       0.0884  
   3     3    0.500    0.843     0.685  0.0570       0.1144  
   3     3    0.536    0.844     0.688  0.0224       0.0450  
   3     3    0.573    0.834     0.668  0.0387       0.0776  
   3     3    0.609    0.853     0.705  0.0334       0.0668  
   3     3    0.645    0.844     0.689  0.0364       0.0727  
   3     3    0.682    0.843     0.685  0.0424       0.0846  
   3     3    0.718    0.840     0.679  0.0470       0.0941  
   3     3    0.755    0.848     0.695  0.0390       0.0780  
   3     3    0.791    0.839     0.679  0.0309       0.0619  
   3     3    0.827    0.829     0.659  0.0429       0.0858  
   3     3    0.864    0.841     0.683  0.0382       0.0764  
   3     3    0.900    0.852     0.705  0.0389       0.0778  
   3     4    0.500    0.839     0.678  0.0406       0.0815  
   3     4    0.536    0.831     0.663  0.0442       0.0884  
   3     4    0.573    0.835     0.670  0.0332       0.0665  
   3     4    0.609    0.838     0.675  0.0391       0.0782  
   3     4    0.645    0.838     0.675  0.0490       0.0980  
   3     4    0.682    0.844     0.687  0.0316       0.0637  
   3     4    0.718    0.840     0.680  0.0272       0.0544  
   3     4    0.755    0.833     0.666  0.0440       0.0879  
   3     4    0.791    0.838     0.675  0.0521       0.1042  
   3     4    0.827    0.847     0.694  0.0332       0.0667  
   3     4    0.864    0.844     0.689  0.0418       0.0838  
   3     4    0.900    0.841     0.681  0.0372       0.0746  
   3     5    0.500    0.838     0.676  0.0349       0.0698  
   3     5    0.536    0.839     0.679  0.0340       0.0682  
   3     5    0.573    0.838     0.676  0.0335       0.0668  
   3     5    0.609    0.840     0.680  0.0390       0.0778  
   3     5    0.645    0.831     0.661  0.0428       0.0855  
   3     5    0.682    0.838     0.677  0.0494       0.0988  
   3     5    0.718    0.845     0.689  0.0440       0.0881  
   3     5    0.755    0.834     0.668  0.0312       0.0622  
   3     5    0.791    0.839     0.678  0.0511       0.1023  
   3     5    0.827    0.829     0.657  0.0436       0.0873  
   3     5    0.864    0.837     0.674  0.0462       0.0923  
   3     5    0.900    0.843     0.685  0.0377       0.0757  
   3     6    0.500    0.837     0.674  0.0355       0.0710  
   3     6    0.536    0.838     0.675  0.0398       0.0796  
   3     6    0.573    0.840     0.680  0.0444       0.0883  
   3     6    0.609    0.836     0.673  0.0329       0.0658  
   3     6    0.645    0.840     0.680  0.0284       0.0569  
   3     6    0.682    0.841     0.683  0.0407       0.0812  
   3     6    0.718    0.830     0.660  0.0426       0.0851  
   3     6    0.755    0.845     0.690  0.0375       0.0752  
   3     6    0.791    0.838     0.676  0.0500       0.1001  
   3     6    0.827    0.836     0.672  0.0380       0.0761  
   3     6    0.864    0.814     0.629  0.0381       0.0764  
   3     6    0.900    0.843     0.685  0.0295       0.0591  
   3     7    0.500    0.828     0.656  0.0492       0.0986  
   3     7    0.536    0.829     0.658  0.0340       0.0682  
   3     7    0.573    0.828     0.656  0.0428       0.0858  
   3     7    0.609    0.821     0.641  0.0371       0.0742  
   3     7    0.645    0.843     0.686  0.0373       0.0747  
   3     7    0.682    0.836     0.673  0.0403       0.0806  
   3     7    0.718    0.833     0.666  0.0356       0.0710  
   3     7    0.755    0.838     0.675  0.0494       0.0991  
   3     7    0.791    0.826     0.651  0.0347       0.0694  
   3     7    0.827    0.838     0.675  0.0275       0.0551  
   3     7    0.864    0.836     0.672  0.0396       0.0795  
   3     7    0.900    0.837     0.674  0.0311       0.0623  
   3     8    0.500    0.837     0.674  0.0376       0.0753  
   3     8    0.536    0.834     0.667  0.0465       0.0932  
   3     8    0.573    0.830     0.660  0.0399       0.0799  
   3     8    0.609    0.835     0.670  0.0259       0.0518  
   3     8    0.645    0.824     0.648  0.0474       0.0947  
   3     8    0.682    0.827     0.654  0.0360       0.0719  
   3     8    0.718    0.831     0.662  0.0364       0.0728  
   3     8    0.755    0.828     0.655  0.0319       0.0638  
   3     8    0.791    0.835     0.670  0.0393       0.0783  
   3     8    0.827    0.834     0.668  0.0469       0.0934  
   3     8    0.864    0.826     0.653  0.0319       0.0638  
   3     8    0.900    0.824     0.649  0.0343       0.0689  
   3     9    0.500    0.830     0.660  0.0461       0.0924  
   3     9    0.536    0.836     0.671  0.0328       0.0656  
   3     9    0.573    0.831     0.661  0.0371       0.0742  
   3     9    0.609    0.815     0.630  0.0465       0.0934  
   3     9    0.645    0.822     0.644  0.0440       0.0885  
   3     9    0.682    0.839     0.677  0.0397       0.0798  
   3     9    0.718    0.822     0.644  0.0408       0.0815  
   3     9    0.755    0.821     0.642  0.0458       0.0917  
   3     9    0.791    0.820     0.640  0.0306       0.0616  
   3     9    0.827    0.840     0.679  0.0340       0.0682  
   3     9    0.864    0.816     0.633  0.0405       0.0810  
   3     9    0.900    0.833     0.666  0.0330       0.0660  
   3    10    0.500    0.820     0.640  0.0365       0.0729  
   3    10    0.536    0.819     0.637  0.0513       0.1025  
   3    10    0.573    0.826     0.651  0.0311       0.0624  
   3    10    0.609    0.822     0.644  0.0475       0.0948  
   3    10    0.645    0.829     0.657  0.0420       0.0843  
   3    10    0.682    0.821     0.641  0.0418       0.0837  
   3    10    0.718    0.807     0.614  0.0362       0.0727  
   3    10    0.755    0.832     0.664  0.0375       0.0749  
   3    10    0.791    0.833     0.665  0.0371       0.0745  
   3    10    0.827    0.826     0.651  0.0325       0.0654  
   3    10    0.864    0.829     0.659  0.0467       0.0940  
   3    10    0.900    0.820     0.640  0.0378       0.0755  
   3    11    0.500    0.841     0.681  0.0483       0.0966  
   3    11    0.536    0.824     0.648  0.0539       0.1078  
   3    11    0.573    0.831     0.662  0.0401       0.0808  
   3    11    0.609    0.820     0.640  0.0458       0.0920  
   3    11    0.645    0.834     0.669  0.0343       0.0685  
   3    11    0.682    0.822     0.644  0.0472       0.0946  
   3    11    0.718    0.841     0.681  0.0433       0.0868  
   3    11    0.755    0.828     0.655  0.0434       0.0870  
   3    11    0.791    0.827     0.653  0.0329       0.0660  
   3    11    0.827    0.826     0.651  0.0397       0.0796  
   3    11    0.864    0.834     0.668  0.0288       0.0576  
   3    11    0.900    0.838     0.675  0.0412       0.0824  
   3    12    0.500    0.829     0.659  0.0414       0.0829  
   3    12    0.536    0.814     0.627  0.0471       0.0943  
   3    12    0.573    0.839     0.679  0.0341       0.0683  
   3    12    0.609    0.836     0.671  0.0367       0.0736  
   3    12    0.645    0.821     0.641  0.0354       0.0712  
   3    12    0.682    0.835     0.670  0.0370       0.0741  
   3    12    0.718    0.817     0.634  0.0419       0.0839  
   3    12    0.755    0.831     0.661  0.0390       0.0782  
   3    12    0.791    0.820     0.640  0.0291       0.0582  
   3    12    0.827    0.819     0.639  0.0464       0.0931  
   3    12    0.864    0.823     0.646  0.0468       0.0935  
