Time difference of 10.13406 secs
[1] "==============="
glmnet 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 721, 720, 721, 720, 719, 720, ... 

Resampling results across tuning parameters:

  alpha  lambda  Accuracy  Kappa    Accuracy SD  Kappa SD
  0.836  2.171   0.510     0.00000  0.00374      0.00000 
  0.836  2.254   0.510     0.00000  0.00374      0.00000 
  0.836  2.337   0.510     0.00000  0.00374      0.00000 
  0.836  2.420   0.510     0.00000  0.00374      0.00000 
  0.836  2.503   0.510     0.00000  0.00374      0.00000 
  0.836  2.586   0.510     0.00000  0.00374      0.00000 
  0.836  2.669   0.510     0.00000  0.00374      0.00000 
  0.836  2.751   0.510     0.00000  0.00374      0.00000 
  0.836  2.834   0.510     0.00000  0.00374      0.00000 
  0.836  2.917   0.510     0.00000  0.00374      0.00000 
  0.836  3.000   0.510     0.00000  0.00374      0.00000 
  0.918  0.100   0.790     0.57968  0.04929      0.09871 
  0.918  0.183   0.767     0.53293  0.05039      0.10101 
  0.918  0.266   0.511     0.00259  0.00602      0.01160 
  0.918  0.349   0.510     0.00000  0.00374      0.00000 
  0.918  0.431   0.510     0.00000  0.00374      0.00000 
  0.918  0.514   0.510     0.00000  0.00374      0.00000 
  0.918  0.597   0.510     0.00000  0.00374      0.00000 
  0.918  0.680   0.510     0.00000  0.00374      0.00000 
  0.918  0.763   0.510     0.00000  0.00374      0.00000 
  0.918  0.846   0.510     0.00000  0.00374      0.00000 
  0.918  0.929   0.510     0.00000  0.00374      0.00000 
  0.918  1.011   0.510     0.00000  0.00374      0.00000 
  0.918  1.094   0.510     0.00000  0.00374      0.00000 
  0.918  1.177   0.510     0.00000  0.00374      0.00000 
  0.918  1.260   0.510     0.00000  0.00374      0.00000 
  0.918  1.343   0.510     0.00000  0.00374      0.00000 
  0.918  1.426   0.510     0.00000  0.00374      0.00000 
  0.918  1.509   0.510     0.00000  0.00374      0.00000 
  0.918  1.591   0.510     0.00000  0.00374      0.00000 
  0.918  1.674   0.510     0.00000  0.00374      0.00000 
  0.918  1.757   0.510     0.00000  0.00374      0.00000 
  0.918  1.840   0.510     0.00000  0.00374      0.00000 
  0.918  1.923   0.510     0.00000  0.00374      0.00000 
  0.918  2.006   0.510     0.00000  0.00374      0.00000 
  0.918  2.089   0.510     0.00000  0.00374      0.00000 
  0.918  2.171   0.510     0.00000  0.00374      0.00000 
  0.918  2.254   0.510     0.00000  0.00374      0.00000 
  0.918  2.337   0.510     0.00000  0.00374      0.00000 
  0.918  2.420   0.510     0.00000  0.00374      0.00000 
  0.918  2.503   0.510     0.00000  0.00374      0.00000 
  0.918  2.586   0.510     0.00000  0.00374      0.00000 
  0.918  2.669   0.510     0.00000  0.00374      0.00000 
  0.918  2.751   0.510     0.00000  0.00374      0.00000 
  0.918  2.834   0.510     0.00000  0.00374      0.00000 
  0.918  2.917   0.510     0.00000  0.00374      0.00000 
  0.918  3.000   0.510     0.00000  0.00374      0.00000 
  1.000  0.100   0.784     0.56848  0.04881      0.09776 
  1.000  0.183   0.767     0.53262  0.04847      0.09722 
  1.000  0.266   0.510     0.00000  0.00374      0.00000 
  1.000  0.349   0.510     0.00000  0.00374      0.00000 
  1.000  0.431   0.510     0.00000  0.00374      0.00000 
  1.000  0.514   0.510     0.00000  0.00374      0.00000 
  1.000  0.597   0.510     0.00000  0.00374      0.00000 
  1.000  0.680   0.510     0.00000  0.00374      0.00000 
  1.000  0.763   0.510     0.00000  0.00374      0.00000 
  1.000  0.846   0.510     0.00000  0.00374      0.00000 
  1.000  0.929   0.510     0.00000  0.00374      0.00000 
  1.000  1.011   0.510     0.00000  0.00374      0.00000 
  1.000  1.094   0.510     0.00000  0.00374      0.00000 
  1.000  1.177   0.510     0.00000  0.00374      0.00000 
  1.000  1.260   0.510     0.00000  0.00374      0.00000 
  1.000  1.343   0.510     0.00000  0.00374      0.00000 
  1.000  1.426   0.510     0.00000  0.00374      0.00000 
  1.000  1.509   0.510     0.00000  0.00374      0.00000 
  1.000  1.591   0.510     0.00000  0.00374      0.00000 
  1.000  1.674   0.510     0.00000  0.00374      0.00000 
  1.000  1.757   0.510     0.00000  0.00374      0.00000 
  1.000  1.840   0.510     0.00000  0.00374      0.00000 
  1.000  1.923   0.510     0.00000  0.00374      0.00000 
  1.000  2.006   0.510     0.00000  0.00374      0.00000 
  1.000  2.089   0.510     0.00000  0.00374      0.00000 
  1.000  2.171   0.510     0.00000  0.00374      0.00000 
  1.000  2.254   0.510     0.00000  0.00374      0.00000 
  1.000  2.337   0.510     0.00000  0.00374      0.00000 
  1.000  2.420   0.510     0.00000  0.00374      0.00000 
  1.000  2.503   0.510     0.00000  0.00374      0.00000 
  1.000  2.586   0.510     0.00000  0.00374      0.00000 
  1.000  2.669   0.510     0.00000  0.00374      0.00000 
  1.000  2.751   0.510     0.00000  0.00374      0.00000 
  1.000  2.834   0.510     0.00000  0.00374      0.00000 
  1.000  2.917   0.510     0.00000  0.00374      0.00000 
  1.000  3.000   0.510     0.00000  0.00374      0.00000 

Kappa was used to select the optimal model using  the largest value.
The final values used for the model were alpha = 0.1 and lambda = 0.1. 
[1] "==============="
Confusion Matrix and Statistics

          Reference
Prediction  0  1
         0 82 19
         1 16 83
                                         
               Accuracy : 0.825          
                 95% CI : (0.7651, 0.875)
    No Information Rate : 0.51           
    P-Value [Acc > NIR] : <2e-16         
                                         
                  Kappa : 0.6501         
 Mcnemar's Test P-Value : 0.7353         
                                         
            Sensitivity : 0.8367         
            Specificity : 0.8137         
         Pos Pred Value : 0.8119         
         Neg Pred Value : 0.8384         
             Prevalence : 0.4900         
         Detection Rate : 0.4100         
   Detection Prevalence : 0.5050         
      Balanced Accuracy : 0.8252         
                                         
       'Positive' Class : 0              
                                         
