Time difference of 2.118694 hours
[1] "==============="
Heteroscedastic Discriminant Analysis 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 720, 720, 720, 720, 720, ... 

Resampling results across tuning parameters:

  gamma  lambda  newdim  Accuracy  Kappa  Accuracy SD  Kappa SD
  0.591  1.0000  11      0.811     0.622  0.0284       0.0570  
  0.591  1.0000  12      0.811     0.622  0.0334       0.0670  
  0.673  0.0000   2        NaN       NaN      NA           NA  
  0.673  0.0000   3        NaN       NaN      NA           NA  
  0.673  0.0000   4        NaN       NaN      NA           NA  
  0.673  0.0000   5        NaN       NaN      NA           NA  
  0.673  0.0000   6        NaN       NaN      NA           NA  
  0.673  0.0000   7        NaN       NaN      NA           NA  
  0.673  0.0000   8      0.617     0.235  0.0420       0.0843  
  0.673  0.0000   9      0.619     0.239  0.0381       0.0763  
  0.673  0.0000  10      0.616     0.234  0.0443       0.0891  
  0.673  0.0000  11      0.620     0.241  0.0429       0.0861  
  0.673  0.0000  12      0.622     0.246  0.0457       0.0915  
  0.673  0.0909   2        NaN       NaN      NA           NA  
  0.673  0.0909   3        NaN       NaN      NA           NA  
  0.673  0.0909   4        NaN       NaN      NA           NA  
  0.673  0.0909   5        NaN       NaN      NA           NA  
  0.673  0.0909   6        NaN       NaN      NA           NA  
  0.673  0.0909   7        NaN       NaN      NA           NA  
  0.673  0.0909   8      0.617     0.235  0.0421       0.0847  
  0.673  0.0909   9      0.620     0.242  0.0373       0.0747  
  0.673  0.0909  10      0.617     0.235  0.0436       0.0878  
  0.673  0.0909  11      0.622     0.247  0.0441       0.0884  
  0.673  0.0909  12      0.622     0.246  0.0425       0.0851  
  0.673  0.1818   2        NaN       NaN      NA           NA  
  0.673  0.1818   3        NaN       NaN      NA           NA  
  0.673  0.1818   4        NaN       NaN      NA           NA  
  0.673  0.1818   5        NaN       NaN      NA           NA  
  0.673  0.1818   6        NaN       NaN      NA           NA  
  0.673  0.1818   7        NaN       NaN      NA           NA  
  0.673  0.1818   8      0.622     0.245  0.0364       0.0730  
  0.673  0.1818   9      0.626     0.253  0.0402       0.0807  
  0.673  0.1818  10      0.619     0.240  0.0443       0.0891  
  0.673  0.1818  11      0.626     0.253  0.0467       0.0937  
  0.673  0.1818  12      0.625     0.251  0.0407       0.0814  
  0.673  0.2727   2        NaN       NaN      NA           NA  
  0.673  0.2727   3        NaN       NaN      NA           NA  
  0.673  0.2727   4        NaN       NaN      NA           NA  
  0.673  0.2727   5        NaN       NaN      NA           NA  
  0.673  0.2727   6        NaN       NaN      NA           NA  
  0.673  0.2727   7        NaN       NaN      NA           NA  
  0.673  0.2727   8      0.627     0.257  0.0325       0.0650  
  0.673  0.2727   9      0.630     0.262  0.0434       0.0872  
  0.673  0.2727  10      0.627     0.255  0.0440       0.0886  
  0.673  0.2727  11      0.631     0.263  0.0492       0.0986  
  0.673  0.2727  12      0.629     0.259  0.0464       0.0932  
  0.673  0.3636   2        NaN       NaN      NA           NA  
  0.673  0.3636   3        NaN       NaN      NA           NA  
  0.673  0.3636   4        NaN       NaN      NA           NA  
  0.673  0.3636   5        NaN       NaN      NA           NA  
  0.673  0.3636   6        NaN       NaN      NA           NA  
  0.673  0.3636   7        NaN       NaN      NA           NA  
  0.673  0.3636   8      0.641     0.284  0.0412       0.0821  
  0.673  0.3636   9      0.637     0.275  0.0449       0.0898  
  0.673  0.3636  10      0.637     0.275  0.0456       0.0914  
  0.673  0.3636  11      0.632     0.265  0.0507       0.1017  
  0.673  0.3636  12      0.631     0.264  0.0521       0.1046  
  0.673  0.4545   2        NaN       NaN      NA           NA  
  0.673  0.4545   3        NaN       NaN      NA           NA  
  0.673  0.4545   4        NaN       NaN      NA           NA  
  0.673  0.4545   5        NaN       NaN      NA           NA  
  0.673  0.4545   6        NaN       NaN      NA           NA  
  0.673  0.4545   7        NaN       NaN      NA           NA  
  0.673  0.4545   8      0.662     0.327  0.0468       0.0937  
  0.673  0.4545   9      0.666     0.334  0.0446       0.0895  
  0.673  0.4545  10      0.674     0.349  0.0474       0.0948  
  0.673  0.4545  11      0.666     0.333  0.0412       0.0823  
  0.673  0.4545  12      0.664     0.330  0.0466       0.0931  
  0.673  0.5455   2        NaN       NaN      NA           NA  
  0.673  0.5455   3        NaN       NaN      NA           NA  
  0.673  0.5455   4        NaN       NaN      NA           NA  
  0.673  0.5455   5        NaN       NaN      NA           NA  
  0.673  0.5455   6        NaN       NaN      NA           NA  
  0.673  0.5455   7        NaN       NaN      NA           NA  
  0.673  0.5455   8      0.720     0.441  0.0468       0.0934  
  0.673  0.5455   9      0.714     0.429  0.0426       0.0853  
  0.673  0.5455  10      0.712     0.426  0.0465       0.0928  
  0.673  0.5455  11      0.717     0.435  0.0433       0.0863  
  0.673  0.5455  12      0.711     0.424  0.0475       0.0948  
  0.673  0.6364   2        NaN       NaN      NA           NA  
  0.673  0.6364   3        NaN       NaN      NA           NA  
  0.673  0.6364   4        NaN       NaN      NA           NA  
  0.673  0.6364   5        NaN       NaN      NA           NA  
  0.673  0.6364   6        NaN       NaN      NA           NA  
  0.673  0.6364   7        NaN       NaN      NA           NA  
  0.673  0.6364   8      0.751     0.503  0.0523       0.1042  
  0.673  0.6364   9      0.750     0.501  0.0531       0.1060  
  0.673  0.6364  10      0.755     0.512  0.0532       0.1058  
  0.673  0.6364  11      0.756     0.512  0.0490       0.0974  
  0.673  0.6364  12      0.756     0.513  0.0503       0.1001  
  0.673  0.7273   2        NaN       NaN      NA           NA  
  0.673  0.7273   3        NaN       NaN      NA           NA  
  0.673  0.7273   4        NaN       NaN      NA           NA  
  0.673  0.7273   5        NaN       NaN      NA           NA  
  0.673  0.7273   6        NaN       NaN      NA           NA  
  0.673  0.7273   7        NaN       NaN      NA           NA  
  0.673  0.7273   8      0.776     0.552  0.0503       0.1006  
  0.673  0.7273   9      0.771     0.543  0.0530       0.1059  
  0.673  0.7273  10      0.771     0.543  0.0449       0.0894  
  0.673  0.7273  11      0.771     0.542  0.0368       0.0734  
  0.673  0.7273  12      0.774     0.548  0.0418       0.0833  
  0.673  0.8182   2        NaN       NaN      NA           NA  
  0.673  0.8182   3        NaN       NaN      NA           NA  
  0.673  0.8182   4        NaN       NaN      NA           NA  
  0.673  0.8182   5        NaN       NaN      NA           NA  
  0.673  0.8182   6        NaN       NaN      NA           NA  
  0.673  0.8182   7        NaN       NaN      NA           NA  
  0.673  0.8182   8      0.794     0.588  0.0402       0.0805  
  0.673  0.8182   9      0.792     0.584  0.0406       0.0814  
  0.673  0.8182  10      0.781     0.563  0.0375       0.0749  
  0.673  0.8182  11      0.796     0.592  0.0389       0.0779  
  0.673  0.8182  12      0.797     0.595  0.0387       0.0774  
  0.673  0.9091   2        NaN       NaN      NA           NA  
  0.673  0.9091   3        NaN       NaN      NA           NA  
  0.673  0.9091   4        NaN       NaN      NA           NA  
  0.673  0.9091   5        NaN       NaN      NA           NA  
  0.673  0.9091   6        NaN       NaN      NA           NA  
  0.673  0.9091   7        NaN       NaN      NA           NA  
  0.673  0.9091   8      0.797     0.594  0.0332       0.0667  
  0.673  0.9091   9      0.798     0.596  0.0340       0.0686  
  0.673  0.9091  10      0.801     0.601  0.0397       0.0798  
  0.673  0.9091  11      0.812     0.624  0.0352       0.0706  
  0.673  0.9091  12      0.809     0.617  0.0358       0.0717  
  0.673  1.0000   2        NaN       NaN      NA           NA  
  0.673  1.0000   3        NaN       NaN      NA           NA  
  0.673  1.0000   4        NaN       NaN      NA           NA  
  0.673  1.0000   5        NaN       NaN      NA           NA  
  0.673  1.0000   6        NaN       NaN      NA           NA  
  0.673  1.0000   7        NaN       NaN      NA           NA  
  0.673  1.0000   8      0.820     0.640  0.0393       0.0787  
  0.673  1.0000   9      0.817     0.634  0.0388       0.0779  
  0.673  1.0000  10      0.823     0.646  0.0420       0.0840  
  0.673  1.0000  11      0.835     0.670  0.0267       0.0536  
  0.673  1.0000  12      0.839     0.677  0.0296       0.0596  
  0.755  0.0000   2        NaN       NaN      NA           NA  
  0.755  0.0000   3        NaN       NaN      NA           NA  
  0.755  0.0000   4        NaN       NaN      NA           NA  
  0.755  0.0000   5        NaN       NaN      NA           NA  
  0.755  0.0000   6        NaN       NaN      NA           NA  
  0.755  0.0000   7        NaN       NaN      NA           NA  
  0.755  0.0000   8      0.619     0.239  0.0368       0.0738  
  0.755  0.0000   9      0.621     0.242  0.0378       0.0758  
  0.755  0.0000  10      0.619     0.240  0.0457       0.0919  
  0.755  0.0000  11      0.623     0.247  0.0483       0.0970  
  0.755  0.0000  12      0.624     0.248  0.0493       0.0988  
  0.755  0.0909   2        NaN       NaN      NA           NA  
  0.755  0.0909   3        NaN       NaN      NA           NA  
  0.755  0.0909   4        NaN       NaN      NA           NA  
  0.755  0.0909   5        NaN       NaN      NA           NA  
  0.755  0.0909   6        NaN       NaN      NA           NA  
  0.755  0.0909   7        NaN       NaN      NA           NA  
  0.755  0.0909   8      0.619     0.240  0.0395       0.0792  
  0.755  0.0909   9      0.620     0.241  0.0378       0.0758  
  0.755  0.0909  10      0.617     0.236  0.0450       0.0904  
  0.755  0.0909  11      0.622     0.245  0.0487       0.0977  
  0.755  0.0909  12      0.626     0.252  0.0481       0.0965  
  0.755  0.1818   2        NaN       NaN      NA           NA  
  0.755  0.1818   3        NaN       NaN      NA           NA  
  0.755  0.1818   4        NaN       NaN      NA           NA  
  0.755  0.1818   5        NaN       NaN      NA           NA  
  0.755  0.1818   6        NaN       NaN      NA           NA  
  0.755  0.1818   7        NaN       NaN      NA           NA  
  0.755  0.1818   8      0.621     0.244  0.0364       0.0732  
  0.755  0.1818   9      0.624     0.250  0.0395       0.0791  
  0.755  0.1818  10      0.620     0.241  0.0470       0.0946  
  0.755  0.1818  11      0.624     0.249  0.0503       0.1008  
  0.755  0.1818  12      0.626     0.254  0.0466       0.0935  
  0.755  0.2727   2        NaN       NaN      NA           NA  
  0.755  0.2727   3        NaN       NaN      NA           NA  
  0.755  0.2727   4        NaN       NaN      NA           NA  
  0.755  0.2727   5        NaN       NaN      NA           NA  
  0.755  0.2727   6        NaN       NaN      NA           NA  
  0.755  0.2727   7        NaN       NaN      NA           NA  
  0.755  0.2727   8      0.626     0.253  0.0327       0.0660  
  0.755  0.2727   9      0.631     0.264  0.0379       0.0760  
  0.755  0.2727  10      0.629     0.260  0.0432       0.0867  
  0.755  0.2727  11      0.632     0.266  0.0486       0.0975  
  0.755  0.2727  12      0.631     0.264  0.0404       0.0811  
  0.755  0.3636   2        NaN       NaN      NA           NA  
  0.755  0.3636   3        NaN       NaN      NA           NA  
  0.755  0.3636   4        NaN       NaN      NA           NA  
  0.755  0.3636   5        NaN       NaN      NA           NA  
  0.755  0.3636   6        NaN       NaN      NA           NA  
  0.755  0.3636   7        NaN       NaN      NA           NA  
  0.755  0.3636   8      0.639     0.279  0.0447       0.0899  
  0.755  0.3636   9      0.640     0.281  0.0448       0.0900  
  0.755  0.3636  10      0.632     0.266  0.0446       0.0894  
  0.755  0.3636  11      0.635     0.271  0.0495       0.0996  
  0.755  0.3636  12      0.632     0.266  0.0533       0.1070  
  0.755  0.4545   2        NaN       NaN      NA           NA  
  0.755  0.4545   3        NaN       NaN      NA           NA  
  0.755  0.4545   4        NaN       NaN      NA           NA  
  0.755  0.4545   5        NaN       NaN      NA           NA  
  0.755  0.4545   6        NaN       NaN      NA           NA  
  0.755  0.4545   7        NaN       NaN      NA           NA  
  0.755  0.4545   8      0.669     0.340  0.0517       0.1034  
  0.755  0.4545   9      0.671     0.344  0.0466       0.0933  
  0.755  0.4545  10      0.682     0.365  0.0423       0.0844  
  0.755  0.4545  11      0.679     0.360  0.0455       0.0909  
  0.755  0.4545  12      0.679     0.360  0.0477       0.0953  
  0.755  0.5455   2        NaN       NaN      NA           NA  
  0.755  0.5455   3        NaN       NaN      NA           NA  
  0.755  0.5455   4        NaN       NaN      NA           NA  
  0.755  0.5455   5        NaN       NaN      NA           NA  
  0.755  0.5455   6        NaN       NaN      NA           NA  
  0.755  0.5455   7        NaN       NaN      NA           NA  
  0.755  0.5455   8      0.731     0.464  0.0478       0.0956  
  0.755  0.5455   9      0.726     0.454  0.0501       0.1002  
  0.755  0.5455  10      0.723     0.447  0.0511       0.1019  
  0.755  0.5455  11      0.730     0.461  0.0510       0.1018  
  0.755  0.5455  12      0.725     0.452  0.0539       0.1076  
  0.755  0.6364   2        NaN       NaN      NA           NA  
  0.755  0.6364   3        NaN       NaN      NA           NA  
  0.755  0.6364   4        NaN       NaN      NA           NA  
  0.755  0.6364   5        NaN       NaN      NA           NA  
  0.755  0.6364   6        NaN       NaN      NA           NA  
  0.755  0.6364   7        NaN       NaN      NA           NA  
  0.755  0.6364   8      0.756     0.512  0.0526       0.1048  
  0.755  0.6364   9      0.759     0.519  0.0525       0.1045  
  0.755  0.6364  10      0.757     0.514  0.0560       0.1112  
  0.755  0.6364  11      0.764     0.528  0.0463       0.0918  
  0.755  0.6364  12      0.764     0.528  0.0494       0.0980  
  0.755  0.7273   2        NaN       NaN      NA           NA  
  0.755  0.7273   3        NaN       NaN      NA           NA  
  0.755  0.7273   4        NaN       NaN      NA           NA  
  0.755  0.7273   5        NaN       NaN      NA           NA  
  0.755  0.7273   6        NaN       NaN      NA           NA  
  0.755  0.7273   7        NaN       NaN      NA           NA  
  0.755  0.7273   8      0.782     0.564  0.0407       0.0814  
  0.755  0.7273   9      0.781     0.561  0.0439       0.0877  
  0.755  0.7273  10      0.775     0.550  0.0425       0.0850  
  0.755  0.7273  11      0.781     0.563  0.0402       0.0801  
  0.755  0.7273  12      0.782     0.565  0.0484       0.0965  
  0.755  0.8182   2        NaN       NaN      NA           NA  
  0.755  0.8182   3        NaN       NaN      NA           NA  
  0.755  0.8182   4        NaN       NaN      NA           NA  
  0.755  0.8182   5        NaN       NaN      NA           NA  
  0.755  0.8182   6        NaN       NaN      NA           NA  
  0.755  0.8182   7        NaN       NaN      NA           NA  
  0.755  0.8182   8      0.796     0.591  0.0403       0.0807  
  0.755  0.8182   9      0.795     0.590  0.0441       0.0884  
  0.755  0.8182  10      0.792     0.585  0.0432       0.0866  
  0.755  0.8182  11      0.798     0.596  0.0388       0.0779  
  0.755  0.8182  12      0.802     0.604  0.0405       0.0812  
  0.755  0.9091   2        NaN       NaN      NA           NA  
  0.755  0.9091   3        NaN       NaN      NA           NA  
  0.755  0.9091   4        NaN       NaN      NA           NA  
  0.755  0.9091   5        NaN       NaN      NA           NA  
  0.755  0.9091   6        NaN       NaN      NA           NA  
  0.755  0.9091   7        NaN       NaN      NA           NA  
  0.755  0.9091   8      0.807     0.615  0.0431       0.0866  
  0.755  0.9091   9      0.803     0.606  0.0473       0.0950  
  0.755  0.9091  10      0.808     0.616  0.0376       0.0757  
  0.755  0.9091  11      0.828     0.656  0.0369       0.0740  
  0.755  0.9091  12      0.828     0.656  0.0421       0.0846  
  0.755  1.0000   2        NaN       NaN      NA           NA  
  0.755  1.0000   3        NaN       NaN      NA           NA  
  0.755  1.0000   4        NaN       NaN      NA           NA  
  0.755  1.0000   5        NaN       NaN      NA           NA  
  0.755  1.0000   6        NaN       NaN      NA           NA  
  0.755  1.0000   7        NaN       NaN      NA           NA  
  0.755  1.0000   8      0.837     0.674  0.0452       0.0906  
  0.755  1.0000   9      0.828     0.656  0.0417       0.0837  
  0.755  1.0000  10      0.846     0.691  0.0391       0.0784  
  0.755  1.0000  11      0.849     0.699  0.0295       0.0592  
  0.755  1.0000  12      0.849     0.699  0.0294       0.0592  
  0.836  0.0000   2        NaN       NaN      NA           NA  
  0.836  0.0000   3        NaN       NaN      NA           NA  
  0.836  0.0000   4        NaN       NaN      NA           NA  
  0.836  0.0000   5        NaN       NaN      NA           NA  
  0.836  0.0000   6        NaN       NaN      NA           NA  
  0.836  0.0000   7        NaN       NaN      NA           NA  
  0.836  0.0000   8      0.619     0.240  0.0386       0.0774  
  0.836  0.0000   9      0.621     0.243  0.0414       0.0831  
  0.836  0.0000  10      0.621     0.242  0.0492       0.0988  
  0.836  0.0000  11      0.625     0.251  0.0455       0.0917  
  0.836  0.0000  12      0.624     0.249  0.0411       0.0827  
  0.836  0.0909   2        NaN       NaN      NA           NA  
  0.836  0.0909   3        NaN       NaN      NA           NA  
  0.836  0.0909   4        NaN       NaN      NA           NA  
  0.836  0.0909   5        NaN       NaN      NA           NA  
  0.836  0.0909   6        NaN       NaN      NA           NA  
  0.836  0.0909   7        NaN       NaN      NA           NA  
  0.836  0.0909   8      0.619     0.240  0.0390       0.0782  
  0.836  0.0909   9      0.622     0.245  0.0431       0.0865  
  0.836  0.0909  10      0.621     0.243  0.0489       0.0984  
  0.836  0.0909  11      0.624     0.249  0.0438       0.0882  
  0.836  0.0909  12      0.624     0.249  0.0423       0.0850  
  0.836  0.1818   2        NaN       NaN      NA           NA  
  0.836  0.1818   3        NaN       NaN      NA           NA  
  0.836  0.1818   4        NaN       NaN      NA           NA  
  0.836  0.1818   5        NaN       NaN      NA           NA  
  0.836  0.1818   6        NaN       NaN      NA           NA  
  0.836  0.1818   7        NaN       NaN      NA           NA  
  0.836  0.1818   8      0.621     0.242  0.0360       0.0723  
  0.836  0.1818   9      0.625     0.252  0.0418       0.0837  
  0.836  0.1818  10      0.621     0.242  0.0504       0.1012  
  0.836  0.1818  11      0.626     0.253  0.0442       0.0889  
  0.836  0.1818  12      0.629     0.259  0.0408       0.0820  
  0.836  0.2727   2        NaN       NaN      NA           NA  
  0.836  0.2727   3        NaN       NaN      NA           NA  
  0.836  0.2727   4        NaN       NaN      NA           NA  
  0.836  0.2727   5        NaN       NaN      NA           NA  
  0.836  0.2727   6        NaN       NaN      NA           NA  
  0.836  0.2727   7        NaN       NaN      NA           NA  
  0.836  0.2727   8      0.628     0.257  0.0373       0.0750  
  0.836  0.2727   9      0.627     0.255  0.0369       0.0739  
  0.836  0.2727  10      0.632     0.266  0.0455       0.0913  
  0.836  0.2727  11      0.634     0.268  0.0439       0.0881  
  0.836  0.2727  12      0.631     0.263  0.0408       0.0822  
  0.836  0.3636   2        NaN       NaN      NA           NA  
  0.836  0.3636   3        NaN       NaN      NA           NA  
  0.836  0.3636   4        NaN       NaN      NA           NA  
  0.836  0.3636   5        NaN       NaN      NA           NA  
  0.836  0.3636   6        NaN       NaN      NA           NA  
  0.836  0.3636   7        NaN       NaN      NA           NA  
  0.836  0.3636   8      0.637     0.275  0.0477       0.0959  
  0.836  0.3636   9      0.637     0.276  0.0441       0.0884  
  0.836  0.3636  10      0.632     0.265  0.0458       0.0919  
  0.836  0.3636  11      0.635     0.271  0.0463       0.0932  
  0.836  0.3636  12      0.634     0.270  0.0446       0.0898  
  0.836  0.4545   2        NaN       NaN      NA           NA  
  0.836  0.4545   3        NaN       NaN      NA           NA  
  0.836  0.4545   4        NaN       NaN      NA           NA  
  0.836  0.4545   5        NaN       NaN      NA           NA  
  0.836  0.4545   6        NaN       NaN      NA           NA  
  0.836  0.4545   7        NaN       NaN      NA           NA  
  0.836  0.4545   8      0.667     0.336  0.0540       0.1079  
  0.836  0.4545   9      0.670     0.341  0.0498       0.0997  
  0.836  0.4545  10      0.682     0.365  0.0503       0.1003  
  0.836  0.4545  11      0.675     0.352  0.0498       0.0995  
  0.836  0.4545  12      0.679     0.359  0.0526       0.1050  
  0.836  0.5455   2        NaN       NaN      NA           NA  
  0.836  0.5455   3        NaN       NaN      NA           NA  
  0.836  0.5455   4        NaN       NaN      NA           NA  
  0.836  0.5455   5        NaN       NaN      NA           NA  
  0.836  0.5455   6        NaN       NaN      NA           NA  
  0.836  0.5455   7        NaN       NaN      NA           NA  
  0.836  0.5455   8      0.730     0.462  0.0508       0.1015  
  0.836  0.5455   9      0.726     0.454  0.0527       0.1051  
  0.836  0.5455  10      0.728     0.457  0.0526       0.1050  
  0.836  0.5455  11      0.724     0.450  0.0492       0.0980  
  0.836  0.5455  12      0.722     0.446  0.0528       0.1051  
  0.836  0.6364   2        NaN       NaN      NA           NA  
  0.836  0.6364   3        NaN       NaN      NA           NA  
  0.836  0.6364   4        NaN       NaN      NA           NA  
  0.836  0.6364   5        NaN       NaN      NA           NA  
  0.836  0.6364   6        NaN       NaN      NA           NA  
  0.836  0.6364   7        NaN       NaN      NA           NA  
  0.836  0.6364   8      0.766     0.532  0.0539       0.1074  
  0.836  0.6364   9      0.768     0.537  0.0554       0.1102  
  0.836  0.6364  10      0.763     0.527  0.0504       0.1001  
  0.836  0.6364  11      0.766     0.533  0.0482       0.0957  
  0.836  0.6364  12      0.765     0.531  0.0532       0.1056  
  0.836  0.7273   2        NaN       NaN      NA           NA  
  0.836  0.7273   3        NaN       NaN      NA           NA  
  0.836  0.7273   4        NaN       NaN      NA           NA  
  0.836  0.7273   5        NaN       NaN      NA           NA  
  0.836  0.7273   6        NaN       NaN      NA           NA  
  0.836  0.7273   7        NaN       NaN      NA           NA  
  0.836  0.7273   8      0.784     0.569  0.0440       0.0879  
  0.836  0.7273   9      0.777     0.553  0.0465       0.0930  
  0.836  0.7273  10      0.779     0.559  0.0501       0.0999  
  0.836  0.7273  11      0.794     0.587  0.0420       0.0837  
  0.836  0.7273  12      0.796     0.592  0.0442       0.0880  
  0.836  0.8182   2        NaN       NaN      NA           NA  
  0.836  0.8182   3        NaN       NaN      NA           NA  
  0.836  0.8182   4        NaN       NaN      NA           NA  
  0.836  0.8182   5        NaN       NaN      NA           NA  
  0.836  0.8182   6        NaN       NaN      NA           NA  
  0.836  0.8182   7        NaN       NaN      NA           NA  
  0.836  0.8182   8      0.795     0.590  0.0489       0.0981  
  0.836  0.8182   9      0.791     0.581  0.0529       0.1062  
  0.836  0.8182  10      0.800     0.600  0.0413       0.0828  
  0.836  0.8182  11      0.808     0.616  0.0321       0.0643  
  0.836  0.8182  12      0.811     0.621  0.0349       0.0699  
  0.836  0.9091   2        NaN       NaN      NA           NA  
  0.836  0.9091   3        NaN       NaN      NA           NA  
  0.836  0.9091   4        NaN       NaN      NA           NA  
  0.836  0.9091   5        NaN       NaN      NA           NA  
  0.836  0.9091   6        NaN       NaN      NA           NA  
  0.836  0.9091   7        NaN       NaN      NA           NA  
  0.836  0.9091   8      0.827     0.655  0.0411       0.0822  
  0.836  0.9091   9      0.824     0.648  0.0417       0.0835  
  0.836  0.9091  10      0.831     0.661  0.0400       0.0801  
  0.836  0.9091  11      0.838     0.676  0.0311       0.0627  
  0.836  0.9091  12      0.845     0.690  0.0292       0.0588  
  0.836  1.0000   2        NaN       NaN      NA           NA  
  0.836  1.0000   3        NaN       NaN      NA           NA  
  0.836  1.0000   4        NaN       NaN      NA           NA  
  0.836  1.0000   5        NaN       NaN      NA           NA  
  0.836  1.0000   6        NaN       NaN      NA           NA  
  0.836  1.0000   7        NaN       NaN      NA           NA  
  0.836  1.0000   8      0.851     0.701  0.0396       0.0793  
  0.836  1.0000   9      0.846     0.692  0.0416       0.0834  
  0.836  1.0000  10      0.857     0.715  0.0428       0.0857  
  0.836  1.0000  11      0.855     0.710  0.0313       0.0627  
  0.836  1.0000  12      0.863     0.726  0.0263       0.0527  
  0.918  0.0000   2        NaN       NaN      NA           NA  
  0.918  0.0000   3        NaN       NaN      NA           NA  
  0.918  0.0000   4        NaN       NaN      NA           NA  
  0.918  0.0000   5        NaN       NaN      NA           NA  
  0.918  0.0000   6        NaN       NaN      NA           NA  
  0.918  0.0000   7        NaN       NaN      NA           NA  
  0.918  0.0000   8      0.622     0.246  0.0403       0.0809  
  0.918  0.0000   9      0.621     0.243  0.0431       0.0866  
  0.918  0.0000  10      0.623     0.246  0.0460       0.0927  
  0.918  0.0000  11      0.626     0.252  0.0440       0.0887  
  0.918  0.0000  12      0.626     0.253  0.0429       0.0860  
  0.918  0.0909   2        NaN       NaN      NA           NA  
  0.918  0.0909   3        NaN       NaN      NA           NA  
  0.918  0.0909   4        NaN       NaN      NA           NA  
  0.918  0.0909   5        NaN       NaN      NA           NA  
  0.918  0.0909   6        NaN       NaN      NA           NA  
  0.918  0.0909   7        NaN       NaN      NA           NA  
  0.918  0.0909   8      0.621     0.243  0.0413       0.0828  
  0.918  0.0909   9      0.622     0.244  0.0427       0.0856  
  0.918  0.0909  10      0.622     0.245  0.0470       0.0945  
  0.918  0.0909  11      0.627     0.254  0.0446       0.0898  
  0.918  0.0909  12      0.626     0.253  0.0422       0.0848  
  0.918  0.1818   2        NaN       NaN      NA           NA  
  0.918  0.1818   3        NaN       NaN      NA           NA  
  0.918  0.1818   4        NaN       NaN      NA           NA  
  0.918  0.1818   5        NaN       NaN      NA           NA  
  0.918  0.1818   6        NaN       NaN      NA           NA  
  0.918  0.1818   7        NaN       NaN      NA           NA  
  0.918  0.1818   8      0.621     0.243  0.0406       0.0814  
  0.918  0.1818   9      0.622     0.244  0.0438       0.0877  
  0.918  0.1818  10      0.625     0.252  0.0483       0.0972  
  0.918  0.1818  11      0.625     0.250  0.0447       0.0899  
  0.918  0.1818  12      0.625     0.250  0.0420       0.0844  
  0.918  0.2727   2        NaN       NaN      NA           NA  
  0.918  0.2727   3        NaN       NaN      NA           NA  
  0.918  0.2727   4        NaN       NaN      NA           NA  
  0.918  0.2727   5        NaN       NaN      NA           NA  
  0.918  0.2727   6        NaN       NaN      NA           NA  
  0.918  0.2727   7        NaN       NaN      NA           NA  
  0.918  0.2727   8      0.625     0.251  0.0360       0.0723  
  0.918  0.2727   9      0.625     0.251  0.0345       0.0691  
  0.918  0.2727  10      0.630     0.260  0.0502       0.1008  
  0.918  0.2727  11      0.631     0.262  0.0421       0.0846  
  0.918  0.2727  12      0.628     0.257  0.0411       0.0826  
  0.918  0.3636   2        NaN       NaN      NA           NA  
  0.918  0.3636   3        NaN       NaN      NA           NA  
  0.918  0.3636   4        NaN       NaN      NA           NA  
  0.918  0.3636   5        NaN       NaN      NA           NA  
  0.918  0.3636   6        NaN       NaN      NA           NA  
  0.918  0.3636   7        NaN       NaN      NA           NA  
  0.918  0.3636   8      0.635     0.271  0.0471       0.0945  
  0.918  0.3636   9      0.630     0.261  0.0401       0.0803  
  0.918  0.3636  10      0.637     0.276  0.0481       0.0964  
  0.918  0.3636  11      0.639     0.279  0.0480       0.0965  
  0.918  0.3636  12      0.631     0.263  0.0459       0.0923  
  0.918  0.4545   2        NaN       NaN      NA           NA  
  0.918  0.4545   3        NaN       NaN      NA           NA  
  0.918  0.4545   4        NaN       NaN      NA           NA  
  0.918  0.4545   5        NaN       NaN      NA           NA  
  0.918  0.4545   6        NaN       NaN      NA           NA  
  0.918  0.4545   7        NaN       NaN      NA           NA  
  0.918  0.4545   8      0.650     0.302  0.0528       0.1060  
  0.918  0.4545   9      0.657     0.315  0.0527       0.1058  
  0.918  0.4545  10      0.660     0.321  0.0548       0.1095  
  0.918  0.4545  11      0.660     0.322  0.0530       0.1060  
  0.918  0.4545  12      0.653     0.307  0.0548       0.1095  
  0.918  0.5455   2        NaN       NaN      NA           NA  
  0.918  0.5455   3        NaN       NaN      NA           NA  
  0.918  0.5455   4        NaN       NaN      NA           NA  
  0.918  0.5455   5        NaN       NaN      NA           NA  
  0.918  0.5455   6        NaN       NaN      NA           NA  
  0.918  0.5455   7        NaN       NaN      NA           NA  
  0.918  0.5455   8      0.714     0.429  0.0473       0.0945  
  0.918  0.5455   9      0.711     0.424  0.0501       0.1002  
  0.918  0.5455  10      0.706     0.413  0.0496       0.0990  
  0.918  0.5455  11      0.703     0.407  0.0554       0.1103  
  0.918  0.5455  12      0.699     0.398  0.0526       0.1048  
  0.918  0.6364   2        NaN       NaN      NA           NA  
  0.918  0.6364   3        NaN       NaN      NA           NA  
  0.918  0.6364   4        NaN       NaN      NA           NA  
  0.918  0.6364   5        NaN       NaN      NA           NA  
