Time difference of 2.118694 hours
[1] "==============="
Heteroscedastic Discriminant Analysis 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 720, 720, 720, 720, 720, ... 

Resampling results across tuning parameters:

  gamma  lambda  newdim  Accuracy  Kappa  Accuracy SD  Kappa SD
  0.182  0.3636   2        NaN       NaN      NA           NA  
  0.182  0.3636   3        NaN       NaN      NA           NA  
  0.182  0.3636   4        NaN       NaN      NA           NA  
  0.182  0.3636   5        NaN       NaN      NA           NA  
  0.182  0.3636   6        NaN       NaN      NA           NA  
  0.182  0.3636   7        NaN       NaN      NA           NA  
  0.182  0.3636   8      0.626     0.254  0.0229       0.0460  
  0.182  0.3636   9      0.626     0.255  0.0341       0.0685  
  0.182  0.3636  10      0.625     0.252  0.0320       0.0641  
  0.182  0.3636  11      0.622     0.247  0.0393       0.0786  
  0.182  0.3636  12      0.622     0.247  0.0377       0.0757  
  0.182  0.4545   2        NaN       NaN      NA           NA  
  0.182  0.4545   3        NaN       NaN      NA           NA  
  0.182  0.4545   4        NaN       NaN      NA           NA  
  0.182  0.4545   5        NaN       NaN      NA           NA  
  0.182  0.4545   6        NaN       NaN      NA           NA  
  0.182  0.4545   7        NaN       NaN      NA           NA  
  0.182  0.4545   8      0.630     0.262  0.0201       0.0405  
  0.182  0.4545   9      0.630     0.262  0.0324       0.0650  
  0.182  0.4545  10      0.628     0.258  0.0332       0.0666  
  0.182  0.4545  11      0.623     0.249  0.0396       0.0793  
  0.182  0.4545  12      0.625     0.252  0.0387       0.0775  
  0.182  0.5455   2        NaN       NaN      NA           NA  
  0.182  0.5455   3        NaN       NaN      NA           NA  
  0.182  0.5455   4        NaN       NaN      NA           NA  
  0.182  0.5455   5        NaN       NaN      NA           NA  
  0.182  0.5455   6        NaN       NaN      NA           NA  
  0.182  0.5455   7        NaN       NaN      NA           NA  
  0.182  0.5455   8      0.632     0.266  0.0211       0.0423  
  0.182  0.5455   9      0.635     0.272  0.0358       0.0717  
  0.182  0.5455  10      0.632     0.266  0.0313       0.0625  
  0.182  0.5455  11      0.625     0.252  0.0349       0.0700  
